"Player Name","Team","Position","KMeans","DBSCAN"
"Diaz","ARG","OUTSIDE HITTER","3","1"
"Diez","FRA","LIBERO","4","1"
"Dilmenler","TUR","OPPOSITE SPIKER","3","1"
"Duflos Rossi","FRA","OUTSIDE HITTER","3","1"
"Eckardt","GER","LIBERO","3","1"
"Eiro","JPN","SETTER","1","1"
"Eisa","IRI","MIDDLE BLOCKER","3","1"
"Elgert","CAN","SETTER","1","1"
"Ensing","USA","OPPOSITE SPIKER","3","1"
"Ertuğrul Gazi","TUR","MIDDLE BLOCKER","3","1"
"Esfandiar","IRI","OUTSIDE HITTER","2","1"
"Ewert","USA","OUTSIDE HITTER","3","1"
"Faure","FRA","OPPOSITE SPIKER","2","1"
"Feral","FRA","OPPOSITE SPIKER","3","1"
"Fernando","BRA","SETTER","1","1"
"Fiel","CUB","MIDDLE BLOCKER","3","1"
"Firlej","POL","SETTER","1","1"
"Flavio","BRA","MIDDLE BLOCKER","2","1"
"Flexen","USA","OUTSIDE HITTER","3","1"
"Fornal","POL","OUTSIDE HITTER","2","1"
"Gajović","SRB","MIDDLE BLOCKER","3","1"
"Galassi","ITA","MIDDLE BLOCKER","3","1"
"Gallego","ARG","MIDDLE BLOCKER","3","1"
"Garcia","CUB","LIBERO","4","1"
"Garcia","USA","OPPOSITE SPIKER","2","1"
"Gargiulo","ITA","MIDDLE BLOCKER","2","1"
"Gasman","USA","MIDDLE BLOCKER","3","1"
"Georgiev","BUL","MIDDLE BLOCKER","3","1"
"Giannelli","ITA","SETTER","1","1"
"Gierżot","POL","OUTSIDE HITTER","2","1"
"Giraudo","ARG","SETTER","3","1"
"Gomez","ARG","OPPOSITE SPIKER","2","1"
"Gomez","CUB","SETTER","1","1"
"Gomułka","POL","OPPOSITE SPIKER","3","1"
"Gonzalez","CUB","OPPOSITE SPIKER","3","1"
"Goto","JPN","OUTSIDE HITTER","3","1"
"Granieczny","POL","LIBERO","3","1"
"Graven","GER","LIBERO","4","1"
"Grebennikov","FRA","LIBERO","4","1"
"Greves","CAN","SETTER","3","1"
"Grozdanov","BUL","MIDDLE BLOCKER","2","1"
"Grozer","GER","OPPOSITE SPIKER","3","1"
"Gueye","FRA","MIDDLE BLOCKER","3","1"
"Gulmezoglu","TUR","OUTSIDE HITTER","3","1"
"Gyimah","CAN","MIDDLE BLOCKER","3","1"
"Gürbüz","TUR","OPPOSITE SPIKER","2","1"
"Haghparast","IRI","OUTSIDE HITTER","3","1"
"Hatipoğlu","TUR","LIBERO","3","1"
"Hawryluk","POL","LIBERO","3","1"
"Hazrat","IRI","LIBERO","4","1"
"Henno","FRA","OUTSIDE HITTER","3","1"
"Herr","CAN","SETTER","1","1"
"Heslinga","CAN","OUTSIDE HITTER","3","1"
"Hilmi","TUR","SETTER","3","1"
"Hobus","USA","OPPOSITE SPIKER","3","1"
"Hofer","CAN","OUTSIDE HITTER","2","1"
"Holdaway","USA","MIDDLE BLOCKER","3","1"
"Honorato","BRA","LIBERO","2","1"
"Howe","CAN","MIDDLE BLOCKER","3","1"
"Huetz","FRA","MIDDLE BLOCKER","2","1"
"Isaacson","USA","SETTER","3","1"
"Ishikawa","JPN","OUTSIDE HITTER","2","1"
"Ivović","SRB","LIBERO","2","1"
"J. Elser","CAN","OUTSIDE HITTER","3","1"
"J. Gutierrez","CUB","OUTSIDE HITTER","3","1"
"Jakubiszak","POL","MIDDLE BLOCKER","3","1"
"Javad","IRI","SETTER","3","1"
"Jendryk","USA","MIDDLE BLOCKER","3","1"
"Ji D.S.","CHN","OUTSIDE HITTER","3","1"
"Jiang C.","CHN","OPPOSITE SPIKER","2","1"
"John","GER","OPPOSITE SPIKER","2","1"
"Jovović","SRB","SETTER","1","1"
"Judson","BRA","MIDDLE BLOCKER","2","1"
"Kai","JPN","OUTSIDE HITTER","2","1"
"Karyagin","BUL","OUTSIDE HITTER","3","1"
"Keemink","NED","SETTER","1","1"
"Keihan","JPN","OPPOSITE SPIKER","3","1"
"Kirkit","TUR","OUTSIDE HITTER","3","1"
"Kisiliuk","UKR","OUTSIDE HITTER","3","1"
"Klok","NED","LIBERO","4","1"
"Knigge","USA","MIDDLE BLOCKER","3","1"
"Kochanowski","POL","MIDDLE BLOCKER","2","1"
"Kokeza","SRB","MIDDLE BLOCKER","3","1"
"Komenda","POL","SETTER","1","1"
"Koops","NED","OUTSIDE HITTER","4","0"
"Korenblek","NED","MIDDLE BLOCKER","3","1"
"Korreck","GER","MIDDLE BLOCKER","3","1"
"Koval","UKR","MIDDLE BLOCKER","3","1"
"Kovalov","UKR","OUTSIDE HITTER","2","1"
"Kovačič","SLO","LIBERO","4","1"
"Kozamernik","SLO","MIDDLE BLOCKER","2","1"
"Kozub","POL","SETTER","3","1"
"Krage","GER","MIDDLE BLOCKER","3","1"
"Krick","GER","MIDDLE BLOCKER","3","1"
"Kržič","SLO","MIDDLE BLOCKER","3","1"
"Kukartsev","ARG","OPPOSITE SPIKER","2","1"
"Kulpinac","SRB","OPPOSITE SPIKER","3","1"
"Kunstmann","GER","MIDDLE BLOCKER","3","1"
"L. Bergmann","BRA","OUTSIDE HITTER","2","1"
"Larry","JPN","MIDDLE BLOCKER","3","1"
"Laurenzano","ITA","LIBERO","4","1"
"Lavia","ITA","OUTSIDE HITTER","2","1"
"Le Goff","FRA","MIDDLE BLOCKER","3","1"
"Leon","POL","OUTSIDE HITTER","2","1"
"Li T. Y.","CHN","LIBERO","3","1"
"Li Y.Z.","CHN","MIDDLE BLOCKER","2","1"
"Lima B.","ARG","OPPOSITE SPIKER","3","1"
"Lipke","NED","LIBERO","3","1"
"Lopez","CUB","OUTSIDE HITTER","2","1"
"Loser Bruno","ARG","MIDDLE BLOCKER","2","1"
"Louati","FRA","OUTSIDE HITTER","2","1"
"Luburić","SRB","OPPOSITE SPIKER","2","1"
"Lucarelli","BRA","OUTSIDE HITTER","3","1"
"Luengas","ARG","OUTSIDE HITTER","3","1"
"Lui","CAN","LIBERO","3","1"
"M. Lagumdzija","TUR","OUTSIDE HITTER","3","1"
"Ma'a","USA","SETTER","1","1"
"Maase","GER","MIDDLE BLOCKER","2","1"
"Maciel","ARG","MIDDLE BLOCKER","3","1"
"Magnin","FRA","MIDDLE BLOCKER","3","1"
"Maicon","BRA","OUTSIDE HITTER","3","1"
"Maique","BRA","LIBERO","4","1"
"Mandıracı","TUR","OUTSIDE HITTER","2","0"
"Marovt","SLO","OUTSIDE HITTER","3","1"
"Marshman","USA","MIDDLE BLOCKER","3","1"
"Martinez Franchi","ARG","LIBERO","4","1"
"Martinez Gion","NED","OUTSIDE HITTER","3","1"
"Masso","CUB","OPPOSITE SPIKER","2","1"
"Matheus","BRA","MIDDLE BLOCKER","3","1"
"Matheus G.","BRA","SETTER","3","1"
"Matin","IRI","MIDDLE BLOCKER","3","1"
"Matić","TUR","MIDDLE BLOCKER","3","1"
"Mašulović N.","SRB","MIDDLE BLOCKER","3","1"
"Mašulović V.","SRB","OUTSIDE HITTER","2","1"
"McCarthy","CAN","MIDDLE BLOCKER","2","1"
"McHenry","USA","MIDDLE BLOCKER","3","1"
"Meier","GER","OUTSIDE HITTER","3","1"
"Meijs","NED","OPPOSITE SPIKER","3","1"
"Mergarejo","CUB","OUTSIDE HITTER","3","1"
"Miao R.T.","CHN","MIDDLE BLOCKER","3","1"
"Michieletto","ITA","OUTSIDE HITTER","2","0"
"Milanović","SRB","SETTER","3","1"
"Miwa","JPN","MIDDLE BLOCKER","3","1"
"Miyaura","JPN","OPPOSITE SPIKER","2","1"
"Mohammad","IRI","MIDDLE BLOCKER","2","1"
"Mohwinkel","GER","LIBERO","3","1"
"Morteza","IRI","OUTSIDE HITTER","2","1"
"Možič","SLO","OUTSIDE HITTER","2","1"
"Muhammed K.","TUR","SETTER","3","1"
"Mujanović","SLO","OPPOSITE SPIKER","2","1"
"Murayama","JPN","MIDDLE BLOCKER","3","1"
"Nachev","BUL","MIDDLE BLOCKER","3","1"
"Najdič","SLO","SETTER","3","1"
"Nalozhnyi","UKR","OUTSIDE HITTER","3","1"
"Nasevich","POL","OPPOSITE SPIKER","3","1"
"Nedeljković","SRB","MIDDLE BLOCKER","2","1"
"Negic","SRB","LIBERO","3","1"
"Nikolić","SRB","OPPOSITE SPIKER","3","1"
"Nishimoto","JPN","MIDDLE BLOCKER","3","1"
"Nishiyama","JPN","OPPOSITE SPIKER","3","1"
"Nowak J.","POL","MIDDLE BLOCKER","3","1"
"Ogawa","JPN","LIBERO","4","1"
"Okroglič","SLO","LIBERO","3","1"
"Onodera","JPN","MIDDLE BLOCKER","3","1"
"Otsuka","JPN","OUTSIDE HITTER","2","1"
"Oya","JPN","SETTER","1","1"
"Pace","ITA","LIBERO","3","1"
"Pajenk","SLO","MIDDLE BLOCKER","3","1"
"Palev","BUL","SETTER","3","1"
"Palonsky","ARG","OUTSIDE HITTER","2","1"
"Pampushko","UKR","LIBERO","3","1"
"Parkinson","NED","MIDDLE BLOCKER","3","1"
"Pasteur","USA","OUTSIDE HITTER","3","1"
"Patry","FRA","OPPOSITE SPIKER","3","1"
"Peng S.K.","CHN","MIDDLE BLOCKER","3","1"
"Perić","SRB","OUTSIDE HITTER","3","1"
"Peter","GER","OUTSIDE HITTER","3","1"
"Petkov","BUL","MIDDLE BLOCKER","3","1"
"Petkov","BUL","MIDDLE BLOCKER","3","1"
"Petkov","BUL","MIDDLE BLOCKER","3","1"
"Petkov","BUL","MIDDLE BLOCKER","3","1"
"Plak","NED","MIDDLE BLOCKER","3","1"
"Planinšič","SLO","SETTER","1","1"
"Poluian","UKR","OUTSIDE HITTER","3","1"
"Popiwczak","POL","LIBERO","4","1"
"Poriya","IRI","OUTSIDE HITTER","2","1"
"Porro L.","ITA","OUTSIDE HITTER","2","1"
"Poręba","POL","MIDDLE BLOCKER","3","1"
"Pothron","FRA","OUTSIDE HITTER","4","1"
"Qu Z.S.","CHN","LIBERO","4","1"
"Ramon","FRA","LIBERO","3","1"
"Ran","JPN","OUTSIDE HITTER","2","1"
"Rao S.H.","CHN","MIDDLE BLOCKER","3","1"
"Recine","ITA","OUTSIDE HITTER","3","1"
"Ristić","SRB","LIBERO","4","1"
"Robinson","USA","OUTSIDE HITTER","2","1"
"Romanò","ITA","OPPOSITE SPIKER","2","1"
"Rowan","USA","SETTER","3","1"
"Rychlicki","ITA","OPPOSITE SPIKER","2","1"
"Röhrs","GER","OUTSIDE HITTER","2","1"
"S. Nikolov","BUL","SETTER","1","0"
"Saadat","IRI","OPPOSITE SPIKER","3","1"
"Sabino","BRA","OPPOSITE SPIKER","3","1"
"Salazar","ARG","MIDDLE BLOCKER","3","1"
"Sanchez Pages","ARG","SETTER","1","1"
"Sanguinetti","ITA","MIDDLE BLOCKER","3","1"
"Sani","ITA","OUTSIDE HITTER","2","1"
"Sasak","POL","OPPOSITE SPIKER","2","1"
"Sato","JPN","MIDDLE BLOCKER","3","1"
"Savaş","TUR","MIDDLE BLOCKER","3","1"
"Sbertoli","ITA","SETTER","1","1"
"Scarpa","ARG","LIBERO","3","1"
"Schnitzer","CAN","MIDDLE BLOCKER","3","1"
"Sclater","CAN","OPPOSITE SPIKER","2","1"
"Semeniuk","POL","OUTSIDE HITTER","2","1"
"Semeniuk","UKR","MIDDLE BLOCKER","2","1"
"Shchytkov","UKR","SETTER","1","1"
"Shimokawa","JPN","SETTER","1","1"
"Shoji","USA","LIBERO","4","1"
"Simón","CUB","MIDDLE BLOCKER","2","0"
"Soshi","JPN","LIBERO","3","1"
"Stefanović","SRB","MIDDLE BLOCKER","3","1"
"Strehlau","FRA","OUTSIDE HITTER","3","1"
"Synytsia","UKR","SETTER","1","1"
"Szalpuk","POL","OUTSIDE HITTER","2","1"
"Szymura","POL","OUTSIDE HITTER","2","1"
"T. Štern","SLO","OPPOSITE SPIKER","2","1"
"Tatarov","BUL","OUTSIDE HITTER","3","1"
"Telkiyski","BUL","SETTER","3","1"
"Tevkun","UKR","OPPOSITE SPIKER","3","1"
"Thiago","CUB","MIDDLE BLOCKER","3","1"
"Thiery","BRA","MIDDLE BLOCKER","3","1"
"Thondike","CUB","SETTER","3","1"
"Tille","GER","SETTER","1","1"
"Tizi-Oualou","FRA","SETTER","1","1"
"Todorović","SRB","SETTER","1","1"
"Todua","UKR","MIDDLE BLOCKER","3","1"
"Tomita","JPN","OUTSIDE HITTER","4","1"
"Toniutti","FRA","SETTER","3","1"
"Torwie","GER","MIDDLE BLOCKER","2","1"
"Tuinstra","NED","OUTSIDE HITTER","2","1"
"Tupchii","UKR","OPPOSITE SPIKER","2","1"
"Tümer","TUR","MIDDLE BLOCKER","3","1"
"Urnaut","SLO","OUTSIDE HITTER","2","1"
"Uryvkin","UKR","OPPOSITE SPIKER","3","1"
"Van Der Ent","NED","MIDDLE BLOCKER","2","1"
"Varga","CAN","OUTSIDE HITTER","2","1"
"Vicentin","ARG","OUTSIDE HITTER","2","1"
"Vinčić","SLO","SETTER","3","1"
"Wang B.","CHN","OUTSIDE HITTER","3","1"
"Wang H.B.","CHN","SETTER","1","1"
"Wassenaar Ketrzynski","CAN","OPPOSITE SPIKER","2","1"
"Wen Z. H.","CHN","OPPOSITE SPIKER","3","1"
"Wijkstra","NED","OUTSIDE HITTER","3","1"
"Wiltenburg","NED","MIDDLE BLOCKER","3","1"
"Yamamoto","JPN","LIBERO","4","1"
"Yamauchi","JPN","MIDDLE BLOCKER","3","1"
"Yamazaki","JPN","OUTSIDE HITTER","3","1"
"Yanchuk","UKR","OUTSIDE HITTER","2","1"
"Yant","CUB","OUTSIDE HITTER","2","1"
"Yenipazar","TUR","SETTER","1","1"
"Yevstratov","UKR","SETTER","1","1"
"Young","CAN","OUTSIDE HITTER","3","1"
"Yousef","IRI","MIDDLE BLOCKER","3","1"
"Yu Y.C.","CHN","SETTER","1","1"
"Yu Y.T.","CHN","OUTSIDE HITTER","4","1"
"Yüksel","TUR","OUTSIDE HITTER","3","1"
"Z. Štern","SLO","OUTSIDE HITTER","2","1"
"Zaleszczyk","POL","MIDDLE BLOCKER","3","1"
"Zerba","ARG","MIDDLE BLOCKER","3","1"
"Zhai D.J.","CHN","OUTSIDE HITTER","3","1"
"Zhang Z.J.","CHN","MIDDLE BLOCKER","3","1"
"Zhelev","BUL","OUTSIDE HITTER","3","1"
"Zimmermann","GER","SETTER","1","1"
"de Groot","NED","OUTSIDE HITTER","3","1"
"Śliwka","POL","OUTSIDE HITTER","3","1"
"Šen","SLO","OUTSIDE HITTER","3","1"
"Štalekar","SLO","MIDDLE BLOCKER","3","1"
