Player Name,Team,Position,Age,Height,Setting Errors,Sets Per Match,Successful Receives,Receiving Errors,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Blocks Per Match,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Arthur,BRA,OUTSIDE HITTER,21,205cm,0,0.08,13,7,1.0,2,5,39,0.15,4,9,0.31,4,7,1.23,40,6,25,3.08
Asparuhov,BUL,OUTSIDE HITTER,25,201cm,1,0.0,38,16,3.17,1,19,79,0.08,9,22,0.75,12,30,2.25,69,22,76,5.75
Atanasov,BUL,OUTSIDE HITTER,28,196cm,0,0.0,17,7,1.42,4,10,28,0.33,3,8,0.25,4,8,0.67,32,14,36,2.67
B. Bayraktar,TUR,LIBERO,27,190cm,0,0.25,53,18,4.42,0,0,0,0.0,0,0,0.0,35,41,6.5,0,0,0,0.0
Bak,NED,OUTSIDE HITTER,23,198cm,0,0.0,2,0,0.17,0,2,4,0.0,1,3,0.08,4,3,0.5,5,4,8,0.42
Balaso,ITA,LIBERO,29,178cm,1,0.09,51,6,4.64,0,0,0,0.0,0,0,0.0,27,45,5.64,0,0,0,0.0
Bayram,TUR,OUTSIDE HITTER,23,194cm,0,0.0,8,4,1.33,0,9,22,0.0,2,3,0.33,4,6,1.83,20,5,14,3.33
Bedirhan,TUR,MIDDLE BLOCKER,26,201cm,0,0.08,12,0,1.0,8,25,117,0.67,18,49,1.5,10,16,1.92,70,11,27,5.83
Bednorz,POL,OUTSIDE HITTER,31,201cm,0,0.0,10,3,2.0,0,4,8,0.0,2,2,0.4,1,2,0.6,10,3,8,2.0
Berkhout,NED,SETTER,25,198cm,1,14.42,0,0,0.0,1,6,71,0.08,2,11,0.17,20,16,1.33,2,0,7,0.17
Bisset,CUB,OPPOSITE SPIKER,30,200cm,0,0.31,1,0,0.08,0,7,13,0.0,2,7,0.15,1,4,0.62,19,9,13,1.46
Boiko,UKR,LIBERO,22,180cm,0,0.25,68,12,5.67,0,0,0,0.0,0,0,0.0,55,41,7.08,0,0,0,0.0
Boninfante,ITA,SETTER,21,188cm,0,1.0,0,1,0.0,0,4,6,0.0,0,1,0.0,0,3,0.5,1,0,0,0.25
Bottolo,ITA,OUTSIDE HITTER,25,196cm,0,0.07,24,3,1.6,3,24,43,0.2,7,6,0.47,3,8,1.07,49,15,46,3.27
Bovolenta,ITA,OPPOSITE SPIKER,21,202cm,0,0.0,0,0,0.0,1,5,16,0.25,1,3,0.25,3,3,2.0,18,4,16,4.5
Bozhilov,BUL,LIBERO,37,190cm,0,0.25,46,15,3.83,0,0,0,0.0,0,0,0.0,11,29,2.0,0,0,0,0.0
Bołądź,POL,OPPOSITE SPIKER,30,204cm,0,0.0,0,0,0.0,0,7,10,0.0,3,6,0.43,1,0,0.43,14,8,6,2.0
Brand,GER,OUTSIDE HITTER,27,194cm,0,0.0,28,14,3.5,2,12,77,0.25,9,29,1.12,15,13,4.12,76,22,69,9.5
Bračko,SLO,OUTSIDE HITTER,21,194cm,0,0.0,20,11,1.33,2,18,37,0.13,2,15,0.13,9,11,1.27,41,11,43,2.73
Brborić,SRB,OUTSIDE HITTER,19,192cm,0,0.09,10,4,0.91,3,17,36,0.27,2,8,0.18,10,6,1.36,27,9,35,2.45
Briggs,USA,LIBERO,24,182cm,1,0.5,25,5,3.12,0,0,0,0.0,0,0,0.0,14,12,3.25,0,0,0,0.0
Brizard,FRA,SETTER,31,196cm,2,30.11,0,0,0.0,15,26,63,1.67,3,17,0.33,10,16,2.56,10,5,6,1.11
Burggräf,GER,SETTER,26,184cm,1,2.08,0,0,0.0,2,5,25,0.17,1,2,0.08,6,5,0.67,1,0,0,0.08
Böhme,GER,OPPOSITE SPIKER,28,203cm,0,0.0,1,0,0.08,2,7,6,0.17,1,6,0.08,2,8,0.58,21,6,21,1.75
Camino,CUB,LIBERO,22,186cm,0,0.0,26,18,2.0,0,0,0,0.0,0,0,0.0,18,21,0.77,0,0,0,0.0
Can Koç,TUR,OPPOSITE SPIKER,22,200cm,0,0.0,0,0,0.0,0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,1,0.0
Caneschi,ITA,MIDDLE BLOCKER,28,205cm,0,0.0,0,0,0.0,0,2,1,0.0,1,4,0.25,0,0,0.0,1,0,0,0.25
Canham,CAN,OPPOSITE SPIKER,25,194cm,0,0.0,0,0,0.0,1,10,14,0.25,1,4,0.25,2,6,0.75,17,3,16,4.25
Carle,FRA,OUTSIDE HITTER,29,195cm,0,0.0,0,0,0.0,0,5,6,0.0,0,0,0.0,1,0,0.25,0,0,0,0.0
Chaboissant,FRA,SETTER,22,189cm,0,5.25,0,0,0.0,0,4,11,0.0,1,3,0.25,3,6,0.5,1,0,3,0.25
Champlin,USA,OUTSIDE HITTER,23,191cm,0,0.33,24,6,2.0,3,18,60,0.25,4,8,0.33,17,7,1.83,60,12,62,5.0
Chelenyak,UKR,MIDDLE BLOCKER,20,200cm,0,0.0,0,0,0.0,1,0,13,0.08,0,1,0.0,1,1,0.08,0,1,1,0.0
Chinenyeze,FRA,MIDDLE BLOCKER,27,204cm,0,0.0,0,0,0.0,0,4,22,0.0,1,6,0.12,0,0,0.62,21,3,3,2.62
Chizoba,BRA,OPPOSITE SPIKER,28,200cm,0,0.0,0,0,0.0,2,2,8,0.2,1,6,0.1,1,0,0.1,6,3,11,0.6
Clevenot,FRA,OUTSIDE HITTER,31,199cm,1,0.08,58,15,4.46,11,19,143,0.85,19,29,1.46,20,30,3.85,147,37,121,11.31
Concepcion,CUB,MIDDLE BLOCKER,27,202cm,0,0.0,1,1,0.08,9,23,112,0.69,33,58,2.54,6,16,1.46,78,18,37,6.0
Conde,ARG,OUTSIDE HITTER,20,193cm,0,0.0,2,2,0.17,0,6,7,0.0,2,1,0.17,5,3,0.25,3,5,8,0.25
Cortesia,ITA,MIDDLE BLOCKER,26,198cm,0,0.0,0,0,0.0,0,0,5,0.0,1,6,0.12,0,1,0.0,2,1,2,0.25
Currie,CAN,LIBERO,25,175cm,0,0.17,52,13,4.33,0,0,0,0.0,0,0,0.0,48,40,3.75,0,0,0,0.0
Czunkiewicz,POL,LIBERO,28,183cm,4,0.0,11,4,1.38,0,0,0,0.0,0,0,0.0,18,18,2.5,0,0,0,0.0
D. Dimitrov,BUL,OPPOSITE SPIKER,24,208cm,0,0.25,0,0,0.0,0,3,14,0.0,4,5,1.0,0,2,1.25,9,3,7,2.25
D. Kolev,BUL,LIBERO,23,176cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,6,8,3.5,0,0,0,0.0
Dagostino,USA,LIBERO,30,175cm,1,0.0,10,5,1.25,0,0,0,0.0,0,0,0.0,21,10,2.0,0,0,0,0.0
Danani,ARG,LIBERO,29,176cm,0,0.25,25,6,6.25,0,0,0,0.0,0,0,0.0,19,21,9.0,0,0,0,0.0
Daneshdoust,IRI,OUTSIDE HITTER,25,192cm,0,0.25,7,10,0.58,2,0,43,0.17,5,8,0.42,7,6,0.92,23,5,17,1.92
Darlan,BRA,OPPOSITE SPIKER,23,192cm,0,0.0,0,0,0.0,15,26,62,1.0,5,19,0.33,13,14,1.27,122,39,58,8.13
Diaz,ARG,OUTSIDE HITTER,19,193cm,0,0.0,0,0,0.0,0,3,4,0.0,0,0,0.0,1,0,0.0,0,0,0,0.0
Diez,FRA,LIBERO,27,183cm,0,0.31,60,13,4.62,0,0,0,0.0,0,0,0.0,29,38,5.54,0,0,0,0.0
Dilmenler,TUR,OPPOSITE SPIKER,21,203cm,0,0.0,0,0,0.0,1,8,18,0.11,3,6,0.33,7,5,1.44,27,14,30,3.0
Duflos Rossi,FRA,OUTSIDE HITTER,18,198cm,0,0.0,15,1,1.88,0,3,15,0.0,1,4,0.12,3,6,1.0,10,7,23,1.25
Eckardt,GER,LIBERO,24,183cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0,0.0
Eiro,JPN,SETTER,29,192cm,1,13.27,0,0,0.0,4,7,70,0.36,2,6,0.18,10,25,1.64,3,3,1,0.27
Eisa,IRI,MIDDLE BLOCKER,24,203cm,0,0.1,2,0,0.2,1,9,106,0.1,20,34,2.0,7,7,1.7,28,8,18,2.8
Elgert,CAN,SETTER,27,191cm,2,16.67,0,1,0.0,7,12,98,0.58,2,14,0.17,18,35,0.92,1,0,2,0.08
Ensing,USA,OPPOSITE SPIKER,28,201cm,0,0.0,0,0,0.0,3,2,32,0.38,2,7,0.25,7,9,1.0,23,11,19,2.88
Ertuğrul Gazi,TUR,MIDDLE BLOCKER,29,204cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Esfandiar,IRI,OUTSIDE HITTER,26,209cm,0,0.0,11,12,0.92,9,22,60,0.75,11,7,0.92,6,11,1.58,56,15,48,4.67
Ewert,USA,OUTSIDE HITTER,28,195cm,0,0.0,37,10,3.08,0,12,83,0.0,6,25,0.5,20,25,1.33,70,25,67,5.83
Faure,FRA,OPPOSITE SPIKER,25,202cm,0,0.08,2,0,0.15,22,55,177,1.69,11,37,0.85,29,34,5.54,211,60,159,16.23
Feral,FRA,OPPOSITE SPIKER,22,197cm,0,0.0,0,0,0.0,0,3,2,0.0,0,0,0.0,0,0,0.0,1,0,0,0.25
Fernando,BRA,SETTER,29,186cm,3,33.8,0,1,0.0,10,23,142,0.67,6,19,0.4,35,60,1.87,9,3,11,0.6
Fiel,CUB,MIDDLE BLOCKER,32,205cm,0,0.0,1,0,0.08,3,6,45,0.23,11,25,0.85,3,6,0.31,18,7,15,1.38
Firlej,POL,SETTER,28,188cm,3,14.36,0,0,0.0,2,6,64,0.18,2,12,0.18,9,15,2.0,3,1,5,0.27
Flavio,BRA,MIDDLE BLOCKER,32,199cm,1,0.07,1,0,0.07,3,13,149,0.21,27,64,1.93,16,22,1.29,80,18,36,5.71
Flexen,USA,OUTSIDE HITTER,23,204cm,0,0.0,7,9,0.88,4,6,23,0.5,2,4,0.25,1,5,0.88,16,7,25,2.0
Fornal,POL,OUTSIDE HITTER,28,200cm,0,0.14,30,8,4.29,5,14,55,0.71,9,15,1.29,11,14,1.86,42,12,31,6.0
Gajović,SRB,MIDDLE BLOCKER,25,205cm,0,0.0,2,0,0.17,4,5,49,0.33,0,3,0.0,4,1,0.17,2,1,2,0.17
Galassi,ITA,MIDDLE BLOCKER,28,201cm,0,0.0,0,1,0.0,1,10,67,0.09,18,26,1.64,3,20,0.91,44,10,24,4.0
Gallego,ARG,MIDDLE BLOCKER,28,204cm,0,0.0,0,1,0.0,1,13,39,0.08,12,18,1.0,3,11,0.5,18,4,17,1.5
Garcia,CUB,LIBERO,32,175cm,1,0.11,59,16,6.56,0,0,0,0.0,0,0,0.0,27,31,7.44,0,0,0,0.0
Garcia,USA,OPPOSITE SPIKER,26,200cm,1,0.17,0,1,0.0,14,35,71,1.17,9,19,0.75,23,22,2.0,83,25,60,6.92
Gargiulo,ITA,MIDDLE BLOCKER,26,200cm,0,0.13,4,2,0.27,6,11,150,0.4,27,53,1.8,5,17,1.0,69,5,26,4.6
Gasman,USA,MIDDLE BLOCKER,28,208cm,0,0.0,0,0,0.0,1,5,2,0.25,0,3,0.0,0,0,0.5,4,0,2,1.0
Georgiev,BUL,MIDDLE BLOCKER,30,206cm,0,0.0,0,0,0.0,0,4,17,0.0,3,4,0.25,2,1,0.33,8,0,1,0.67
Giannelli,ITA,SETTER,29,200cm,4,23.33,0,0,0.0,14,23,147,0.93,16,32,1.07,27,43,3.27,19,9,24,1.27
Gierżot,POL,OUTSIDE HITTER,23,208cm,0,0.25,20,7,2.5,5,16,28,0.62,1,9,0.12,6,6,1.75,40,9,30,5.0
Giraudo,ARG,SETTER,27,196cm,3,5.17,0,0,0.0,2,7,22,0.17,4,8,0.33,3,8,0.42,2,0,7,0.17
Gomez,ARG,OPPOSITE SPIKER,22,191cm,0,0.0,1,0,0.1,9,31,42,0.9,3,21,0.3,12,11,1.1,86,36,43,8.6
Gomez,CUB,SETTER,26,194cm,2,19.0,0,0,0.0,10,49,114,0.77,5,18,0.38,15,25,1.69,16,2,8,1.23
Gomułka,POL,OPPOSITE SPIKER,23,204cm,0,0.0,0,0,0.0,0,4,3,0.0,0,1,0.0,2,1,0.25,7,3,4,1.75
Gonzalez,CUB,OPPOSITE SPIKER,22,207cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Goto,JPN,OUTSIDE HITTER,24,187cm,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0.0,0,0,1.0,0,1,0,0.0
Granieczny,POL,LIBERO,20,179cm,1,0.07,17,7,1.13,0,0,0,0.0,0,0,0.0,12,23,2.33,0,0,0,0.0
Graven,GER,LIBERO,21,180cm,0,0.25,73,12,6.08,0,0,0,0.0,0,0,0.0,38,36,6.25,0,0,0,0.0
Grebennikov,FRA,LIBERO,35,188cm,0,0.4,18,1,3.6,0,0,1,0.0,0,0,0.0,12,16,4.6,0,0,0,0.0
Greves,CAN,SETTER,22,185cm,0,0.0,0,0,0.0,0,2,14,0.0,0,1,0.0,1,0,0.0,0,0,1,0.0
Grozdanov,BUL,MIDDLE BLOCKER,27,208cm,1,0.25,2,1,0.25,7,9,80,0.88,20,29,2.5,4,8,1.0,37,17,27,4.62
Grozer,GER,OPPOSITE SPIKER,40,200cm,0,0.0,0,0,0.0,1,3,3,0.25,0,2,0.0,2,0,0.25,3,3,5,0.75
Gueye,FRA,MIDDLE BLOCKER,28,198cm,0,0.08,1,0,0.08,3,19,111,0.23,13,37,1.0,9,4,0.69,53,11,32,4.08
Gulmezoglu,TUR,OUTSIDE HITTER,29,199cm,1,0.0,15,5,1.88,3,13,54,0.38,4,10,0.5,14,16,1.75,28,17,44,3.5
Gyimah,CAN,MIDDLE BLOCKER,27,200cm,1,0.17,7,0,0.58,4,19,49,0.33,16,36,1.33,6,11,1.17,40,6,19,3.33
Gürbüz,TUR,OPPOSITE SPIKER,24,200cm,1,0.25,0,1,0.0,1,6,28,0.25,1,11,0.25,7,3,4.0,37,15,23,9.25
Haghparast,IRI,OUTSIDE HITTER,20,198cm,0,0.0,6,6,0.5,2,6,19,0.17,1,7,0.08,1,1,0.75,17,10,12,1.42
Hatipoğlu,TUR,LIBERO,33,190cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,4,3,0.58,0,0,0,0.0
Hawryluk,POL,LIBERO,22,182cm,0,0.0,4,1,1.0,0,0,0,0.0,0,0,0.0,4,1,1.5,0,0,0,0.0
Hazrat,IRI,LIBERO,26,187cm,0,0.17,40,8,3.33,0,0,0,0.0,0,0,0.0,12,23,4.08,0,0,0,0.0
Henno,FRA,OUTSIDE HITTER,20,193cm,0,0.0,25,4,2.78,4,23,27,0.44,3,8,0.33,6,8,2.0,41,12,17,4.56
Herr,CAN,SETTER,31,192cm,1,13.75,0,0,0.0,2,9,54,0.17,1,8,0.08,7,17,0.92,2,0,7,0.17
Heslinga,CAN,OUTSIDE HITTER,23,200cm,0,0.0,17,5,1.55,3,12,55,0.27,5,15,0.45,16,17,1.18,54,10,56,4.91
Hilmi,TUR,SETTER,22,186cm,0,0.12,0,0,0.0,1,0,1,0.12,0,1,0.0,1,1,0.38,0,0,0,0.0
Hobus,USA,OPPOSITE SPIKER,25,205cm,0,0.08,2,0,0.17,0,17,34,0.0,6,9,0.5,7,9,1.5,62,26,47,5.17
Hofer,CAN,OUTSIDE HITTER,25,199cm,0,0.17,53,18,4.42,7,24,88,0.58,9,28,0.75,24,37,3.5,125,37,86,10.42
Holdaway,USA,MIDDLE BLOCKER,28,201cm,0,0.0,0,0,0.0,1,2,9,0.5,2,2,1.0,1,4,1.0,3,1,3,1.5
Honorato,BRA,LIBERO,28,190cm,0,0.13,47,9,3.13,10,22,147,0.67,13,28,0.87,32,32,2.87,102,37,82,6.8
Howe,CAN,MIDDLE BLOCKER,27,198cm,0,0.0,0,0,0.0,1,1,18,0.33,3,12,1.0,2,1,1.0,8,1,4,2.67
Huetz,FRA,MIDDLE BLOCKER,25,202cm,1,0.15,8,1,0.62,9,41,66,0.69,30,49,2.31,2,10,1.0,61,18,30,4.69
Isaacson,USA,SETTER,26,187cm,1,8.5,0,0,0.0,1,2,43,0.12,1,3,0.12,6,17,0.88,1,0,0,0.12
Ishikawa,JPN,OUTSIDE HITTER,29,191cm,0,0.5,16,1,4.0,1,11,34,0.25,3,11,0.75,10,12,2.75,49,17,38,12.25
Ivović,SRB,LIBERO,34,194cm,2,0.42,64,22,5.33,7,39,111,0.58,14,32,1.17,20,30,3.33,108,57,88,9.0
J. Elser,CAN,OUTSIDE HITTER,26,204cm,0,0.0,2,0,0.18,2,3,30,0.18,1,0,0.09,8,4,0.18,9,0,5,0.82
J. Gutierrez,CUB,OUTSIDE HITTER,23,194cm,1,0.0,26,5,2.0,3,13,49,0.23,4,10,0.31,8,9,1.54,46,18,35,3.54
Jakubiszak,POL,MIDDLE BLOCKER,27,210cm,0,0.07,5,1,0.36,2,8,102,0.14,12,36,0.86,5,11,0.57,40,9,17,2.86
Javad,IRI,SETTER,27,204cm,2,7.5,0,0,0.0,1,6,34,0.08,5,10,0.42,9,8,1.75,1,2,1,0.08
Jendryk,USA,MIDDLE BLOCKER,30,208cm,0,0.0,1,0,0.08,2,8,88,0.17,10,28,0.83,5,17,1.58,44,7,22,3.67
Ji D.S.,CHN,OUTSIDE HITTER,33,194cm,1,0.46,41,12,3.15,3,26,71,0.23,5,15,0.38,11,24,1.54,67,30,95,5.15
Jiang C.,CHN,OPPOSITE SPIKER,31,205cm,0,0.15,0,1,0.0,8,21,66,0.62,7,16,0.54,11,5,1.23,94,41,58,7.23
John,GER,OPPOSITE SPIKER,24,204cm,0,0.0,4,1,0.33,17,38,107,1.42,7,24,0.58,20,26,3.92,186,57,133,15.5
Jovović,SRB,SETTER,33,197cm,2,16.0,1,0,0.12,1,2,43,0.12,2,9,0.25,8,11,2.25,5,1,5,0.62
Judson,BRA,MIDDLE BLOCKER,26,204cm,2,0.0,2,1,0.15,10,36,110,0.77,20,60,1.54,11,10,2.0,82,8,37,6.31
Kai,JPN,OUTSIDE HITTER,21,200cm,0,0.17,19,3,1.58,11,28,44,0.92,2,7,0.17,10,17,1.33,50,21,46,4.17
Karyagin,BUL,OUTSIDE HITTER,22,206cm,0,0.0,0,0,0.0,0,1,1,0.0,0,1,0.0,0,1,0.25,1,1,4,0.25
Keemink,NED,SETTER,32,197cm,3,14.83,0,0,0.0,1,5,98,0.08,5,12,0.42,16,20,1.67,10,1,8,0.83
Keihan,JPN,OPPOSITE SPIKER,21,193cm,0,0.0,0,0,0.0,0,3,8,0.0,1,1,0.25,4,0,0.75,13,6,7,3.25
Kirkit,TUR,OUTSIDE HITTER,24,194cm,0,0.0,0,1,0.0,0,0,8,0.0,0,1,0.0,1,0,0.33,1,2,4,0.17
Kisiliuk,UKR,OUTSIDE HITTER,30,197cm,0,0.0,3,2,0.38,2,8,8,0.25,0,5,0.0,0,6,0.38,8,6,8,1.0
Klok,NED,LIBERO,26,189cm,1,0.25,66,16,5.5,0,0,0,0.0,0,0,0.0,56,47,5.75,0,0,0,0.0
Knigge,USA,MIDDLE BLOCKER,29,201cm,0,0.08,1,0,0.08,3,19,50,0.25,14,33,1.17,2,14,0.75,22,9,19,1.83
Kochanowski,POL,MIDDLE BLOCKER,28,199cm,0,0.0,2,0,0.29,5,17,58,0.71,14,27,2.0,2,5,1.14,36,3,13,5.14
Kokeza,SRB,MIDDLE BLOCKER,21,205cm,0,0.0,1,0,0.25,0,1,2,0.0,0,5,0.0,0,1,0.25,1,1,1,0.25
Komenda,POL,SETTER,29,198cm,1,24.91,0,0,0.0,2,2,117,0.18,12,19,1.09,32,37,3.09,2,2,3,0.18
Koops,NED,OUTSIDE HITTER,24,190cm,0,0.42,106,17,8.83,10,47,101,0.83,4,25,0.33,23,41,6.25,122,33,138,10.17
Korenblek,NED,MIDDLE BLOCKER,23,215cm,0,0.0,1,0,0.08,2,10,6,0.17,2,7,0.17,0,1,0.08,10,3,10,0.83
Korreck,GER,MIDDLE BLOCKER,24,210cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Koval,UKR,MIDDLE BLOCKER,26,198cm,0,0.08,0,0,0.0,1,15,35,0.08,4,18,0.33,1,5,0.42,13,1,8,1.08
Kovalov,UKR,OUTSIDE HITTER,29,190cm,0,0.0,45,15,3.75,7,21,86,0.58,19,20,1.58,17,29,2.58,111,41,96,9.25
Kovačič,SLO,LIBERO,33,186cm,1,0.36,66,17,4.71,0,1,0,0.0,0,0,0.0,56,51,5.93,0,0,0,0.0
Kozamernik,SLO,MIDDLE BLOCKER,29,204cm,1,0.13,11,0,0.73,8,18,177,0.53,34,48,2.27,14,41,1.93,61,12,39,4.07
Kozub,POL,SETTER,27,188cm,0,1.5,0,0,0.0,0,0,1,0.0,0,0,0.0,3,2,0.12,0,0,0,0.0
Krage,GER,MIDDLE BLOCKER,28,203cm,0,0.0,0,0,0.0,2,2,46,0.25,8,13,1.0,3,2,0.25,20,4,12,2.5
Krick,GER,MIDDLE BLOCKER,26,210cm,0,0.0,0,0,0.0,1,1,36,0.25,4,15,1.0,5,2,0.25,28,1,7,7.0
Kržič,SLO,MIDDLE BLOCKER,22,202cm,0,0.0,1,0,0.07,1,8,55,0.07,4,16,0.27,4,10,0.2,11,2,6,0.73
Kukartsev,ARG,OPPOSITE SPIKER,32,204cm,0,0.0,0,0,0.0,5,18,69,0.42,10,16,0.83,16,14,2.08,114,30,94,9.5
Kulpinac,SRB,OPPOSITE SPIKER,18,200cm,0,0.14,0,0,0.0,0,1,0,0.0,0,1,0.0,0,1,0.14,0,0,2,0.0
Kunstmann,GER,MIDDLE BLOCKER,22,201cm,0,0.0,0,0,0.0,1,6,24,0.12,2,4,0.25,2,2,0.62,12,6,11,1.5
L. Bergmann,BRA,OUTSIDE HITTER,21,204cm,0,0.07,48,16,3.2,6,28,132,0.4,9,31,0.6,24,34,2.93,107,41,109,7.13
Larry,JPN,MIDDLE BLOCKER,25,195cm,1,0.0,0,0,0.0,1,5,67,0.08,9,29,0.75,3,7,1.42,31,7,15,2.58
Laurenzano,ITA,LIBERO,22,176cm,0,0.12,13,4,1.62,0,0,0,0.0,0,0,0.0,19,7,3.88,0,0,0,0.0
Lavia,ITA,OUTSIDE HITTER,25,200cm,0,0.09,36,11,3.27,5,11,79,0.45,9,21,0.82,14,16,2.91,68,27,86,6.18
Le Goff,FRA,MIDDLE BLOCKER,33,206cm,0,0.0,0,0,0.0,1,3,30,0.2,5,12,1.0,1,1,1.2,19,5,14,3.8
Leon,POL,OUTSIDE HITTER,32,201cm,0,0.14,13,13,1.86,12,27,48,1.71,5,10,0.71,7,6,2.29,70,28,47,10.0
Li T. Y.,CHN,LIBERO,23,183cm,0,0.08,10,4,0.77,0,0,0,0.0,0,0,0.0,16,6,1.46,0,0,0,0.0
Li Y.Z.,CHN,MIDDLE BLOCKER,27,198cm,0,0.0,1,0,0.08,9,17,98,0.69,29,39,2.23,0,10,0.46,41,10,29,3.15
Lima B.,ARG,OPPOSITE SPIKER,29,198cm,0,0.0,0,0,0.0,0,11,8,0.0,0,7,0.0,3,2,0.25,19,2,16,4.75
Lipke,NED,LIBERO,22,180cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0,0.0
Lopez,CUB,OUTSIDE HITTER,28,189cm,0,0.38,48,12,3.69,6,29,97,0.46,7,16,0.54,18,25,3.23,97,32,65,7.46
Loser Bruno,ARG,MIDDLE BLOCKER,27,198cm,0,0.0,1,1,0.08,5,34,150,0.42,34,54,2.83,13,23,1.92,74,10,49,6.17
Louati,FRA,OUTSIDE HITTER,33,198cm,0,0.11,39,7,4.33,8,22,59,0.89,2,15,0.22,13,10,1.78,52,19,37,5.78
Luburić,SRB,OPPOSITE SPIKER,31,202cm,0,0.08,0,2,0.0,10,36,91,0.83,6,12,0.5,15,19,2.33,136,59,114,11.33
Lucarelli,BRA,OUTSIDE HITTER,33,196cm,0,0.14,18,3,2.57,2,7,35,0.29,2,9,0.29,6,18,1.86,24,9,28,3.43
Luengas,ARG,OUTSIDE HITTER,29,197cm,0,0.08,8,3,0.67,4,10,23,0.33,3,7,0.25,7,7,1.25,27,11,18,2.25
Lui,CAN,LIBERO,25,177cm,0,0.08,5,0,0.42,0,0,0,0.0,0,0,0.0,24,3,1.25,0,0,0,0.0
M. Lagumdzija,TUR,OUTSIDE HITTER,24,207cm,0,0.17,10,10,0.83,4,14,66,0.33,7,22,0.58,10,10,2.17,60,28,52,5.0
Ma'a,USA,SETTER,28,192cm,1,20.62,0,0,0.0,4,14,77,0.5,5,10,0.62,17,29,2.88,7,2,8,0.88
Maase,GER,MIDDLE BLOCKER,27,208cm,0,0.12,3,3,0.38,0,13,97,0.0,11,28,1.38,7,9,1.75,60,7,28,7.5
Maciel,ARG,MIDDLE BLOCKER,23,205cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
